# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	3579
#@/user_id	75e113b6-15e1-4610-862b-e87c7177b302
lao qian 	捞钱	c=1 d=0.900325 t=3579
lao shi 	老是	c=3 d=1.30467 t=3579
lao wang 	老王	c=1 d=0.951229 t=3579
le 	了	c=108 d=12.6877 t=3579
le ba 	了吧	c=0 d=0.0923116 t=3579
leng 	冷	c=1 d=0.527292 t=3579
leng si le 	冷死了	c=1 d=0.293758 t=3579
li 	里	c=18 d=6.33852 t=3579
li bu kai 	离不开	c=1 d=0.606531 t=3579
li jie 	理解	c=4 d=2.8881 t=3579
li liang 	力量	c=1 d=0.687289 t=3579
li mian 	里面	c=2 d=0.864385 t=3579
li yi xiu 	李易修	c=1 d=1 t=3579
li zai 	立在	c=0 d=0.0715338 t=3579
li zai gan shen mo 	立在感神魔	c=1 d=0.718924 t=3579
li zi 	例子	c=2 d=1.40195 t=3579
lian jie 	连接	c=1 d=0.878095 t=3579
lian jie 	链接	c=1 d=0.882497 t=3579
liang 	亮	c=1 d=0.895834 t=3579
lie chu 	列出	c=1 d=0.609571 t=3579
